Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,Monday Apr 4,boxscore,SFG,@,MIL,W,12,3,,1-0,1,Tied,Bumgarner,Peralta,,3:35,D,44318,+
2,Tuesday Apr 5,boxscore,SFG,@,MIL,W,2,1,,2-0,1,Tied,Cueto,Nelson,Casilla,2:29,N,24123,++
3,Wednesday Apr 6,boxscore,SFG,@,MIL,L,3,4,,2-1,2,1.0,Thornburg,Lopez,Jeffress,3:19,D,20098,-
4,Thursday Apr 7,boxscore,SFG,,LAD,W,12,6,,3-1,1,Tied,Heston,Wood,,3:07,D,41940,+
5,Friday Apr 8,boxscore,SFG,,LAD,W-wo,3,2,10,4-1,1,up 1.0,Casilla,Blanton,,2:58,N,41742,++
6,Saturday Apr 9,boxscore,SFG,,LAD,L,2,3,10,4-2,1,Tied,Hatcher,Kontos,Jansen,3:22,D,41224,-
7,Sunday Apr 10,boxscore,SFG,,LAD,W,9,6,,5-2,1,up 1.0,Cueto,Coleman,Casilla,3:07,D,41656,+
8,Tuesday Apr 12,boxscore,SFG,@,COL,W,7,2,,6-2,1,up 2.0,Samardzija,Chatwood,,2:44,N,20814,++
9,Wednesday Apr 13,boxscore,SFG,@,COL,L,6,10,,6-3,1,up 1.0,Rusin,Peavy,,3:07,N,21891,-
10,Thursday Apr 14,boxscore,SFG,@,COL,L,6,11,,6-4,1,Tied,De La Rosa,Cain,,3:26,D,21226,--
11,Friday Apr 15,boxscore,SFG,@,LAD,L,3,7,,6-5,3,1.0,Kershaw,Bumgarner,,2:45,N,53449,---
12,Saturday Apr 16,boxscore,SFG,@,LAD,W,4,3,,7-5,1,Tied,Cueto,Kazmir,Casilla,3:32,N,53409,+
13,Sunday Apr 17,boxscore,SFG,@,LAD,L,1,3,,7-6,3,1.0,Maeda,Samardzija,Jansen,2:42,N,48911,-
14,Monday Apr 18,boxscore,SFG,,ARI,L,7,9,11,7-7,3,1.5,De La Rosa,Heston,Ziegler,4:35,N,41432,--
15,Tuesday Apr 19,boxscore,SFG,,ARI,L,0,3,,7-8,3,1.5,Ray,Cain,Clippard,3:08,N,41218,---
16,Wednesday Apr 20,boxscore,SFG,,ARI,L,1,2,,7-9,4,2.5,Greinke,Bumgarner,Ziegler,2:54,N,41497,----
17,Thursday Apr 21,boxscore,SFG,,ARI,L,2,6,,7-10,4,3.5,Wagner,Cueto,,3:10,D,41052,-----
18,Friday Apr 22,boxscore,SFG,,MIA,W,8,1,,8-10,4,2.5,Samardzija,Cosart,,3:09,N,41760,+
19,Saturday Apr 23,boxscore,SFG,,MIA,W,7,2,,9-10,4,2.5,Peavy,Fernandez,,2:46,N,41886,++
20,Sunday Apr 24,boxscore,SFG,,MIA,L,4,5,,9-11,4,3.5,Barraclough,Osich,Ramos,3:14,D,41509,-
21,Monday Apr 25,boxscore,SFG,,SDP,W,5,4,,10-11,3,2.5,Bumgarner,Pomeranz,Casilla,3:47,N,41266,+
22,Tuesday Apr 26,boxscore,SFG,,SDP,W,1,0,,11-11,2,1.5,Cueto,Shields,,2:28,N,41413,++
23,Wednesday Apr 27,boxscore,SFG,,SDP,W,13,9,,12-11,2,0.5,Samardzija,Cashner,,3:21,D,41357,+++
24,Friday Apr 29,boxscore,SFG,@,NYM,L,1,13,,12-12,1,Tied,Matz,Peavy,,3:17,N,39764,-
25,Saturday Apr 30,boxscore,SFG,@,NYM,L,5,6,,12-13,1,Tied,deGrom,Cain,Familia,3:09,D,44466,--
26,Sunday May 1,boxscore,SFG,@,NYM,W,6,1,,13-13,1,Tied,Bumgarner,Syndergaard,,3:19,D,39077,+
